,link,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
0,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-ka-hatch-2018-unico-dono-completao-gnv-gratis-ent-8mil-48x-751-00-fixas-no-cdc-686667352,ford,31900,hatch,ka,manual,2015,39869,1,flex,elétrica,preto,sim,ka 1.0 se se plus tivct flex 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",1
1,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_gol-g6-12-13-714466730,vwvolkswagen,26000,passeio,gol,manual,2013,109000,1.6,flex,hidráulica,prata,sim,gol 1.6 mi plus total flex 8v 4p,4 portas,0,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, som",1
0,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_fox-pepper-1-6-694915538,vwvolkswagen,43990,hatch,fox,manual,2017,53000,1.6,flex,elétrica,branco,sim,fox pepper 1.6 flex 16v 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
3,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-fiesta-2013-674500033,ford,23900,0,fiesta,manual,2013,70000,1,flex,hidráulica,preto,sim,fiesta class 1.0 4p,4 portas,ipva pago,0,1
4,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ecosport-2014-2015-1-6-freestyle-16v-flex-4p-manual-737040717,ford,44700,passeio,ecosport,manual,2015,80000,0,flex,0,0,0,ecosport freestyle 1.6 16v flex 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica",0
5,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_fox-2016-hl-1-6-completissimo-573868745,vwvolkswagen,42900,0,fox,manual,2016,44200,0,flex,0,0,0,fox plus 1.6mi  1.6mi total flex 8v 4p,0,0,0,0
6,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-focus-titanium-plus-top-2018-709422907,ford,75000,0,focus,automático,2018,25000,2.02.9,flex,elétrica,prata,sim,focus tita tita plus 2.0  flex 5p aut.,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
7,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_grande-oportunidade-estudo-troca-por-camionete-l200-720206697,vwvolkswagen,30000,pickup,saveiro,manual,2014,101995,1.6,flex,hidráulica,branco,sim,saveiro 1.6 mi  1.6 mi total flex 8v,2 portas,ipva pago,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_volkswagen-saveiro-robust-1-6-entrada-8-500-48x-695-00-fixas-717228192,vwvolkswagen,33900,0,saveiro,manual,2018,29900,1.6,flex,hidráulica,0,0,saveiro robust 1.6 total flex 8v,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme",0
9,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_virtus-highline-200-tsi-128-cv-automatica-de-6-marchas-impecavel-economico-690466376,vwvolkswagen,67500,passeio,virtus,automático,2018,30000,1,flex,elétrica,cinza,não,virtus highline 200 tsi 1.0 flex 12v aut,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
