Attribute,Attribute,ISBLANK,Description,Value,Missing_value,Meaning
AGER_TYP,AGER_TYP,0,best-ager typology,-1,[-1],unknown
,AGER_TYP,1,best-ager typology,0,[-1],no classification possible
,AGER_TYP,1,best-ager typology,1,[-1],passive elderly
,AGER_TYP,1,best-ager typology,2,[-1],cultural elderly
,AGER_TYP,1,best-ager typology,3,[-1],experience-driven elderly
ALTERSKATEGORIE_GROB,ALTERSKATEGORIE_GROB,0,age classification through prename analysis,"-1, 0","[-1,0]",unknown
,ALTERSKATEGORIE_GROB,1,age classification through prename analysis,1,"[-1,0]",< 30 years
,ALTERSKATEGORIE_GROB,1,age classification through prename analysis,2,"[-1,0]",30 - 45 years
,ALTERSKATEGORIE_GROB,1,age classification through prename analysis,3,"[-1,0]",46 - 60 years
,ALTERSKATEGORIE_GROB,1,age classification through prename analysis,4,"[-1,0]",> 60 years
,ALTERSKATEGORIE_GROB,1,age classification through prename analysis,9,"[-1,0]",uniformly distributed
ALTER_HH,ALTER_HH,0,main age within the household,0,[0],unknown / no main age detectable
,ALTER_HH,1,main age within the household,1,[0],01.01.1895 bis 31.12.1899
,ALTER_HH,1,main age within the household,2,[0],01.01.1900 bis 31.12.1904
,ALTER_HH,1,main age within the household,3,[0],01.01.1905 bis 31.12.1909
,ALTER_HH,1,main age within the household,4,[0],01.01.1910 bis 31.12.1914
,ALTER_HH,1,main age within the household,5,[0],01.01.1915 bis 31.12.1919
,ALTER_HH,1,main age within the household,6,[0],01.01.1920 bis 31.12.1924
,ALTER_HH,1,main age within the household,7,[0],01.01.1925 bis 31.12.1929
,ALTER_HH,1,main age within the household,8,[0],01.01.1930 bis 31.12.1934
,ALTER_HH,1,main age within the household,9,[0],01.01.1935 bis 31.12.1939
,ALTER_HH,1,main age within the household,10,[0],01.01.1940 bis 31.12.1944
,ALTER_HH,1,main age within the household,11,[0],01.01.1945 bis 31.12.1949
,ALTER_HH,1,main age within the household,12,[0],01.01.1950 bis 31.12.1954
,ALTER_HH,1,main age within the household,13,[0],01.01.1955 bis 31.12.1959
,ALTER_HH,1,main age within the household,14,[0],01.01.1960 bis 31.12.1964
,ALTER_HH,1,main age within the household,15,[0],01.01.1965 bis 31.12.1969
,ALTER_HH,1,main age within the household,16,[0],01.01.1970 bis 31.12.1974
,ALTER_HH,1,main age within the household,17,[0],01.01.1975 bis 31.12.1979
,ALTER_HH,1,main age within the household,18,[0],01.01.1980 bis 31.12.1984
,ALTER_HH,1,main age within the household,19,[0],01.01.1985 bis 31.12.1989
,ALTER_HH,1,main age within the household,20,[0],01.01.1990 bis 31.12.1994
